stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
Addvalue Tech R,,Z6JR,,Information and Communications,Mainboard,<span class='up fw-bold'></span>,SGX
Addvalue Tech R1,,1YGR,,Information and Communications,Mainboard,<span class='up fw-bold'></span>,SGX
Advanced,Advanced Holdings Ltd,BLZ,,"Professional, Scientific and Technical Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
Advanced Systems,Advanced Systems Automation Ltd,5TY,,Manufacturing,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AdvancedSystems,,WJ9,,Manufacturing,Catalist,<span class='up fw-bold'>+0.001</span>,SGX
Advancer Global,Advancer Global Ltd,43Q,,Administrative and Support Service Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Adventus,Adventus Holdings Ltd,5EF,,Administrative and Support Service Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Aedge Group,Aedge Group Ltd,XVG,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
Alibab3xLongUB250428US$,,KHWW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibab3xShortUB250428US$,,VUQW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG220608,,DGFW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xLongSG230329,,DKCW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG230504,,DDOW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG230627,,DMBW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG230627A,,DNFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG231024,,DAYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG231123,,DORW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG231214,,DVIW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongSG241126,,DEQW,,,Mainboard,<span class='up fw-bold'>+0.057</span>,SGX
Alibaba 5xLongSG250205,,DCUW,,,Mainboard,<span class='up fw-bold'>+0.008</span>,SGX
Alibaba 5xLongSG250904,,DISW,,,Mainboard,<span class='up fw-bold'>+0.029</span>,SGX
Alibaba 5xLongSG250924,,9O5W,,,Mainboard,<span class='up fw-bold'>+0.386</span>,SGX
Alibaba 5xLongSG251113,,DKPW,,,Mainboard,<span class='up fw-bold'>+0.136</span>,SGX
Alibaba 5xLongUB241231,,WA9W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongUB250430,,XBFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xLongUB250630,,NQEW,,,Mainboard,<span class='up fw-bold'>+0.043</span>,SGX
Alibaba 5xLongUB250930,,PHHW,,,Mainboard,<span class='up fw-bold'>+0.025</span>,SGX
Alibaba 5xShortSG230202,,DAGW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG230330,,DAJW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG230504,,DCFW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG230627,,DCMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG230627A,,DWNW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG230803,,DJMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG231110,,DZMW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xShortSG231123,,DPHW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xShortSG231214,,DCIW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortSG231220,,DVRW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xShortSG240205,,DFTW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xShortSG240411,,DXQW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
Alibaba 5xShortSG250320,,IXJW,,,Mainboard,<span class='down fw-bold'>-0.009</span>,SGX
Alibaba 5xShortUB241231,,JQYW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortUB250127,,FRLW,,,Mainboard,<span class='down fw-bold'>-0.002</span>,SGX
Alibaba 5xShortUB250228,,IKRW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortUB250430,,YJ7W,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortUB250930,,VDRW,,,Mainboard,<span class='up fw-bold'></span>,SGX
Alibaba 5xShortUB251127,,ZWAW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
